dataset_type,mete_type,var_name,mete_var,default_unit,support_unit,var_desc
opensource,gefs_p50,2 metre dewpoint temperature,d2m,K,C | F,[预处理] 地面2米露点温度
opensource,gefs_p50,skin temperature,skt,K,C | F,[预处理] 体感温度
opensource,gefs_p50,wet bulb temp,wbt,K,C | F,[预处理] 湿球温度
opensource,gefs_p50,downward short-wave rad flux,dswrf,W/m^2,,下行短波辐射通量
opensource,gefs_p50,upward short-wave rad flux,uswrf,W/m^2,,上行短波辐射通量
opensource,gefs_p50,downward long-wave rad flux,dlwrf,W/m^2,,下行长波辐射通量
opensource,gefs_p50,upward long-wave rad flux,ulwrf,W/m^2,,上行长波辐射通量
opensource,gefs_p50,mean surface latent heat flux,msshf,W/m^2,,平均表面潜热通量主要涉及水的蒸发和凝结过程
opensource,gefs_p50,mean surface sensible heat flux,mslhf,W/m^2,,平均表面感热通量
opensource,gefs_p50,total cloud cover,tcc,"[0,1]",%,云覆盖比例
opensource,ens_open,2 metre temperature,t2m,K,C | F,地面2米气温
opensource,ens_open,2 metre dewpoint temperature,d2m,K,C | F,地面2米露点温度
opensource,ens_open,skin temperature,skt,K,C | F,地表温度
opensource,ens_open,top net long-wave (thermal) radiation accumulated,ttr-acc,J/m^2,,[原始累积值] 顶部净长波（热）辐射
opensource,ens_open,surface net short-wave (solar) radiation accumulated,ssr-acc,J/m^2,,[原始累积值] 地表净短波（太阳）辐射
opensource,ens_open,surface short-wave (solar) radiation downwards accumulated,ssrd-acc,J/m^2,,[原始累积值] 地表下行短波（太阳）辐射
opensource,ens_open,surface net long-wave (thermal) radiation accumulated,str-acc,J/m^2,,[原始累积值] 地表净长波（热）辐射
opensource,ens_open,surface long-wave (thermal) radiation downwards accumulated,strd-acc,J/m^2,,[原始累积值] 地表下行长波（热）辐射
opensource,ens_open,top net long-wave (thermal) radiation,ttr,W/m^2,,[预处理] 顶部净长波（热）辐射
opensource,ens_open,surface net short-wave (solar) radiation,ssr,W/m^2,,[预处理] 地表净短波（太阳）辐射
opensource,ens_open,surface short-wave (solar) radiation downwards,ssrd,W/m^2,,[预处理] 地表下行短波（太阳）辐射
opensource,ens_open,surface net long-wave (thermal) radiation,str,W/m^2,,[预处理] 地表净长波（热）辐射
opensource,ens_open,surface long-wave (thermal) radiation downwards,strd,W/m^2,,[预处理] 地表下行长波（热）辐射
opensource,gdas_surface,temperature (2m),t2m,K,C | F,地面2米气温
opensource,gdas_surface,dewpoint (2m),d2m,K,C | F,地面2米露点温度
opensource,gdas_surface,skin temperature,skt,K,C | F,地表温度
opensource,gdas_surface,surface temperature,t0m,K,C | F,地面0米气温
opensource,gdas_surface,temperature (80m),t80m,K,C | F,地面80米气温
opensource,gdas_surface,temperature (100m),t100m,K,C | F,地面100米气温
opensource,gdas_surface,cloud cover total,tcc,%,"[0,1]",总体云覆盖率
opensource,gdas_surface,cloud cover low,lcc,%,"[0,1]",低空云覆盖率
opensource,gdas_surface,cloud cover mid,mcc,%,"[0,1]",中空云覆盖率
opensource,gdas_surface,cloud cover high,hcc,%,"[0,1]",高空云覆盖率
opensource,gdas_surface,downward short-wave radiation flux,dswrf,W/m^2,,下行短波辐照通量
opensource,gdas_surface,downward long-wave radiation flux,dlwrf,W/m^2,,下行长波辐照通量
opensource,gdas_surface,upward short-wave radiation flux,uswrf,W/m^2,,上行短波辐照通量
opensource,gdas_surface,upward long-wave radiation flux,ulwrf,W/m^2,,上行长波辐照通量
opensource,era5_surface,2 metre temperature,t2m,K,C | F,地面2米气温
opensource,era5_surface,2 metre dewpoint temperature,d2m,K,C | F,地面2米露点温度
opensource,era5_surface,skin temperature,skt,K,C | F,地表温度
opensource,era5_surface,cloud cover total,tcc,"[0,1]",%,总体云覆盖率
opensource,era5_surface,cloud cover low,lcc,"[0,1]",%,低空云覆盖率
opensource,era5_surface,cloud cover mid,mcc,"[0,1]",%,中空云覆盖率
opensource,era5_surface,cloud cover high,hcc,"[0,1]",%,高空云覆盖率
opensource,era5_surface,surface solar radiation downwards,ssrd-acc,J/m^2,,[原始累积值] 地表下行短波(太阳)辐射
opensource,era5_surface,surface net solar radiation,ssr-acc,J/m^2,,[原始累积值] 地表净短波(太阳)辐射
opensource,era5_surface,surface solar radiation downwards,ssrd,W/m^2,,[预处理] 地表下行短波(太阳)辐射
opensource,era5_surface,surface net solar radiation,ssr,W/m^2,,[预处理] 地表净短波(太阳)辐射
opensource,era5_surface,mean surface direct short-wave radiation flux,msdrswrf,W/m^2,,平均地表直接短波辐射通量
opensource,era5_surface,mean surface downward short-wave radiation flux,msdwswrf,W/m^2,,平均地表下行短波辐射通量
opensource,era5_land,surface net solar radiation,ssr-acc,J/m^2,,[原始累积值] 地表净短波(太阳)辐射
opensource,era5_land,surface net thermal radiation,str-acc,J/m^2,,[原始累积值] 地表净热辐射
opensource,era5_land,surface solar radiation downwards,ssrd-acc,J/m^2,,[原始累积值] 地表下行短波(太阳)辐射
opensource,era5_land,surface thermal radiation downwards,strd-acc,J/m^2,,[原始累积值] 地表下行热辐射
opensource,era5_land,surface latent heat flux,slhf-acc,J/m^2,,[原始累积值] 地表潜热通量
opensource,era5_land,surface sensible heat flux,sshf-acc,J/m^2,,[原始累积值] 地表感热通量
opensource,era5_land,surface net solar radiation,ssr,W/m^2,,[预处理] 地表净短波(太阳)辐射
opensource,era5_land,surface net thermal radiation,str,W/m^2,,[预处理] 地表净热辐射
opensource,era5_land,surface solar radiation downwards,ssrd,W/m^2,,[预处理] 地表下行短波(太阳)辐射
opensource,era5_land,surface thermal radiation downwards,strd,W/m^2,,[预处理] 地表下行热辐射
opensource,era5_land,surface latent heat flux,slhf,W/m^2,,[预处理] 地表潜热通量
opensource,era5_land,surface sensible heat flux,sshf,W/m^2,,[预处理] 地表感热通量
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
